iter	RMSE
0	7.07837076
1	6.266464759
2	5.851712395
3	5.646852797
4	5.527634666
5	5.47917771
6	5.454120799
7	5.430204719
8	5.419067293
9	5.411612984
10	5.402073323
11	5.393893149
12	5.38868821
13	5.382154078
14	5.379253826
15	5.377474387
16	5.371763701
17	5.366164881
18	5.360286152
19	5.357710698
20	5.352665773
21	5.343364265
22	5.341423782
23	5.338680858
24	5.333889167
25	5.330335646
26	5.322485706
27	5.311575293
28	5.298930557
29	5.293221593
30	5.288665673
31	5.284884638
32	5.275218465
33	5.272002518
34	5.264316906
35	5.255627762
36	5.249164111
37	5.241974378
38	5.233977412
39	5.221177757
40	5.209767133
41	5.207739421
42	5.20118026
43	5.175533088
44	5.166259613
45	5.157416111
46	5.149963236
47	5.14374549
48	5.133880748
49	5.131247639
50	5.122799612
51	5.112176394
52	5.104267548
53	5.097049389
54	5.094920066
55	5.087056704
56	5.071519216
57	5.068230927
58	5.060685948
59	5.055929803
60	5.048733619
61	5.044957666
62	5.037097023
63	5.018493296
64	5.016369894
65	5.007766555
66	5.001881557
67	4.995540287
68	4.990221147
69	4.985608487
70	4.979969616
71	4.973869353
72	4.959711383
73	4.95126327
74	4.937827707
75	4.927700972
76	4.919082746
77	4.915698817
78	4.905171943
79	4.897674763
80	4.887114281
81	4.882859011
82	4.875991032
83	4.868226102
84	4.858248129
85	4.850405491
86	4.845734285
87	4.83826737
88	4.834980033
89	4.826986627
90	4.814599662
91	4.807903006
92	4.800804601
93	4.799114889
94	4.796044007
95	4.788600027
96	4.778685646
97	4.773483817
98	4.765132363
99	4.761445707
